title,released,rating,ratings_count,genres,platforms
'SPLOSION MAN,2009-07-22,RATED E +10 FOR EVERYONE +10,91,2D PLATFORMER,XBOX 360
0 DAY ATTACK ON EARTH,2009-12-23,RATED E +10 FOR EVERYONE +10,8,THIRD PERSON SHOOTER,XBOX 360
007 LEGENDS,2012-10-16,RATED T FOR TEEN,44,ACTION,WII U
007 LEGENDS,2012-10-16,RATED T FOR TEEN,84,FPS,XBOX 360
007 NIGHTFIRE,2002-11-18,RATED T FOR TEEN,20,FPS,GAMECUBE
007 QUANTUM OF SOLACE,2008-11-04,RATED T FOR TEEN,0,ACTION ADVENTURE,DS
007 QUANTUM OF SOLACE,2008-11-04,RATED T FOR TEEN,67,FPS,XBOX 360
007 RACING,2000-11-20,RATED T FOR TEEN,20,AUTO RACING,PLAYSTATION
007 THE WORLD IS NOT ENOUGH,2000-11-01,RATED T FOR TEEN,51,FPS,NINTENDO 64
1 2 3 KICK IT! ,2010-12-09,RATED RP FOR RATE PENDING,20,ACTION,PC
10 SECOND NINJA X,2016-07-19,RATED T FOR TEEN,23,2D PLATFORMER,PC
1000 TINY CLAWS,2011-10-04,RATED E +10 FOR EVERYONE +10,11,ACTION,PSP
1001 SPIKES,2014-06-03,RATED T FOR TEEN,37,2D PLATFORMER,3DS
1001 SPIKES,2014-06-03,RATED T FOR TEEN,22,ACTION,XBOX ONE
100FT ROBOT GOLF,2017-09-27,RATED E +10 FOR EVERYONE +10,20,GOLF,PLAYSTATION 4
101IN1 EXPLOSIVE MEGAMIX,2009-04-21,RATED E FOR EVERYONE,0,PARTY,WII
101IN1 SPORTS PARTY MEGAMIX,2011-01-13,RATED E +10 FOR EVERYONE +10,0,SPORTS,WII
1080 AVALANCHE,2003-12-01,RATED E FOR EVERYONE,27,SKIING,GAMECUBE
1080 TENEIGHTY SNOWBOARDING,1998-03-31,RATED E FOR EVERYONE,0,SKIING,NINTENDO 64
1111 MEMORIES RETOLD,2018-11-09,RATED T FOR TEEN,89,ADVENTURE,PC
1111 MEMORIES RETOLD,2018-11-09,RATED T FOR TEEN,70,THIRD-PERSON ADVENTURE,XBOX ONE
112 OPERATOR,2020-10-08,RATED T FOR TEEN,43,STRATEGY,ANDROID
12 IS BETTER THAN 6,2015-11-20,RATED M FOR MATURE,152,ACTION,NINTENDO SWITCH
12 IS BETTER THAN 6,2019-03-05,RATED M FOR MATURE,11,TOP-DOWN SHOOT-'EM-UP,PC
12 LABOURS OF HERCULES II THE CRETAN BULL,2014-12-04,RATED E FOR EVERYONE,56,STRATEGY,IOS
12SWITCH,2017-03-03,RATED E +10 FOR EVERYONE +10,476,PARTY,NINTENDO SWITCH
13 SENTINELS AEGIS RIM,2019-11-28,RATED T FOR TEEN,114,ADVENTURE,PLAYSTATION 4
13 SENTINELS AEGIS RIM,2020-09-22,RATED T FOR TEEN,417,ADVENTURE,PLAYSTATION 4
140,2020-01-09,RATED E FOR EVERYONE,0,2D PLATFORMER,PC
1503 AD  THE NEW WORLD,2003-03-23,RATED T FOR TEEN,15,REAL-TIME STRATEGY,PC
16BIT TRADER,2012-07-31,RATED E FOR EVERYONE,40,ADVENTURE,PC
1701 AD,2006-11-06,RATED E +10 FOR EVERYONE +10,32,REAL-TIME STRATEGY,PC
18 WHEELER AMERICAN PRO TRUCKER,2002-02-20,RATED E FOR EVERYONE,0,AUTO RACING,DREAMCAST
187 RIDE OR DIE,2005-08-24,RATED M FOR MATURE,0,VEHICLE COMBAT SIM,PLAYSTATION 2
1942 JOINT STRIKE,2008-07-23,RATED E +10 FOR EVERYONE +10,15,VERTICAL SHOOT-'EM-UP,XBOX 360
1950S LAWN MOWER KIDS,2011-11-03,RATED E FOR EVERYONE,0,ACTION PUZZLE,DS
1NSANE,2001-02-05,RATED E FOR EVERYONE,24,AUTO RACING SIM,PC
20 MINUTES TILL DAWN,2022-06-07,RATED T FOR TEEN,74,ACTION,PC
2002 FIFA WORLD CUP,2002-04-22,RATED E FOR EVERYONE,10,SOCCER SIM,PLAYSTATION 2
2010 FIFA WORLD CUP,2010-03-29,RATED E FOR EVERYONE,55,SPORTS,PSP
2010 FIFA WORLD CUP SOUTH AFRICA,2010-04-27,RATED E FOR EVERYONE,40,SOCCER SIM,XBOX 360
2014 FIFA WORLD CUP BRAZIL,2014-04-15,RATED E FOR EVERYONE,106,SOCCER SIM,XBOX 360
2064 READ ONLY MEMORIES,2015-10-05,RATED M FOR MATURE,135,ADVENTURE,XBOX ONE
2064 READ ONLY MEMORIES,2017-01-17,RATED M FOR MATURE,555,POINT-AND-CLICK,PC
2064 READ ONLY MEMORIES INTEGRAL,2018-07-26,RATED M FOR MATURE,15,POINT-AND-CLICK,NINTENDO SWITCH
20XX,2018-07-10,RATED E +10 FOR EVERYONE +10,19,2D PLATFORMER,PLAYSTATION 4
24 THE GAME,2006-02-28,RATED M FOR MATURE,27,ACTION ADVENTURE,PLAYSTATION 2
25 TO LIFE,2006-01-17,RATED M FOR MATURE,22,THIRD PERSON SHOOTER,PLAYSTATION 2
2DARK,2017-03-09,RATED M FOR MATURE,11,ADVENTURE,PLAYSTATION 4
2DARK,2017-03-10,RATED M FOR MATURE,30,ACTION ADVENTURE,PC
3 ON 3 NHL ARCADE,2009-02-05,RATED E FOR EVERYONE,22,SPORTS,XBOX 360
3 ON 3 NHL ARCADE,2009-02-11,RATED E FOR EVERYONE,20,HOCKEY,PLAYSTATION 3
300 MARCH TO GLORY,2007-02-27,RATED M FOR MATURE,27,3D BEAT-'EM-UP,PSP
3000TH DUEL,2020-02-19,RATED E +10 FOR EVERYONE +10,64,2D PLATFORMER,NINTENDO SWITCH
3D AFTER BURNER II,2015-01-15,RATED E +10 FOR EVERYONE +10,22,AIRCRAFT COMBAT SIM,3DS
3D DOT GAME HEROES,2010-05-11,RATED E +10 FOR EVERYONE +10,82,ACTION RPG,PLAYSTATION 3
3D GIRL CUSTOM EVOLUTION,2013-11-15,RATED AO FOR ADULTS ONLY,33,SIMULATION,PC
3D ULTRA MINIGOLF,2010-01-06,RATED E FOR EVERYONE,19,SPORTS,XBOX 360
3D ULTRA MINIGOLF ADVENTURES,2007-04-18,RATED E FOR EVERYONE,13,GOLF,PC
428 SHIBUYA SCRAMBLE,2018-09-04,RATED T FOR TEEN,38,ADVENTURE,PC
428 SHIBUYA SCRAMBLE,2018-09-04,RATED T FOR TEEN,39,VISUAL NOVEL,PC
4X4 EVO 2,2001-11-15,RATED E FOR EVERYONE,0,AUTO RACING SIM,XBOX
4X4 EVOLUTION,2000-10-29,RATED E FOR EVERYONE,18,AUTO RACING SIM,PLAYSTATION 2
50 CENT BLOOD ON THE SAND,2009-02-24,RATED M FOR MATURE,55,THIRD PERSON SHOOTER,PLAYSTATION 3
50 CENT BOTS,2009-02-24,RATED M FOR MATURE,26,ACTION,XBOX 360
50 CENT BULLETPROOF,2006-08-29,RATED M FOR MATURE,8,ACTION ADVENTURE,PLAYSTATION 2
60 SECONDS! REATOMIZED,2019-07-25,RATED T FOR TEEN,65,ACTION,XBOX ONE
640,2017-03-16,RATED E FOR EVERYONE,16,ACTION,NINTENDO SWITCH
7 BILLION HUMANS,2018-08-22,RATED E FOR EVERYONE,62,SIMULATION,NINTENDO SWITCH
