title,released,rating,ratings_count,genres,platforms
"""GLOW BALL""  THE BILLIARD PUZZLE GAME",2015-07-20,,4,STRATEGY,PC
'SPLOSION MAN,2009-07-22,RATED E +10 FOR EVERYONE +10,91,2D PLATFORMER,XBOX 360
0 DAY ATTACK ON EARTH,2009-12-23,RATED E +10 FOR EVERYONE +10,8,THIRD PERSON SHOOTER,XBOX 360
007 LEGENDS,2012-10-16,RATED T FOR TEEN,44,ACTION,WII U
007 LEGENDS,2012-10-16,RATED T FOR TEEN,84,FPS,XBOX 360
007 NIGHTFIRE,2002-11-18,RATED T FOR TEEN,20,FPS,GAMECUBE
007 QUANTUM OF SOLACE,2008-11-04,RATED T FOR TEEN,0,ACTION ADVENTURE,DS
007 QUANTUM OF SOLACE,2008-11-04,RATED T FOR TEEN,67,FPS,XBOX 360
007 RACING,2000-11-20,RATED T FOR TEEN,20,AUTO RACING,PLAYSTATION
007 THE WORLD IS NOT ENOUGH,2000-11-01,RATED T FOR TEEN,51,FPS,NINTENDO 64
0RBITALIS,2015-05-28,,5,ACTION PUZZLE,PC
0RBITALIS,2015-05-28,,7,SIMULATION,MACOS
1 2 3 KICK IT! ,2010-12-09,RATED RP FOR RATE PENDING,20,ACTION,PC
1 MOMENT OF TIME SILENTVILLE,2016-07-22,,7,ADVENTURE,MACOS
1 RIDE,2016-07-28,,15,ACTION,PC
10 MINUTES TILL DAWN,2022-04-22,,20,ACTION,PC
10 SECOND NINJA,2014-03-05,,17,2D PLATFORMER,PC
10 SECOND NINJA,2014-03-05,,26,ACTION,MACOS
10 SECOND NINJA X,2016-07-19,RATED T FOR TEEN,23,2D PLATFORMER,PC
10 SECOND NINJA X,2016-07-19,,161,ACTION,XBOX ONE
100 CLASSIC BOOKS,2010-06-14,,11,APPLICATION,DS
100 ROGUES,2010-05-04,,6,RPG,IOS (IPHONE/IPAD)
100% ORANGE JUICE,2013-09-10,,152,STRATEGY,PC
1000 AMPS,2012-01-01,,9,ADVENTURE,MACOS
1000 HEROZ,2011-06-08,,11,ARCADE RACING,IOS (IPHONE/IPAD)
1000 TINY CLAWS,2011-10-04,RATED E +10 FOR EVERYONE +10,11,ACTION,PSP
10000000,2012-07-25,,44,ACTION,PC
10000000,2012-07-25,,29,RPG,PC
1001 SPIKES,2014-06-03,RATED T FOR TEEN,37,2D PLATFORMER,3DS
1001 SPIKES,2014-06-03,RATED T FOR TEEN,22,ACTION,XBOX ONE
100FT ROBOT GOLF,2017-09-27,RATED E +10 FOR EVERYONE +10,20,GOLF,PLAYSTATION 4
101IN1 EXPLOSIVE MEGAMIX,2009-04-21,RATED E FOR EVERYONE,0,PARTY,WII
101IN1 SPORTS PARTY MEGAMIX,2011-01-13,RATED E +10 FOR EVERYONE +10,0,SPORTS,WII
1080 AVALANCHE,2003-12-01,RATED E FOR EVERYONE,27,SKIING,GAMECUBE
1080 TENEIGHTY SNOWBOARDING,1998-03-31,RATED E FOR EVERYONE,0,SKIING,NINTENDO 64
1111 MEMORIES RETOLD,2018-11-09,RATED T FOR TEEN,89,ADVENTURE,PC
1111 MEMORIES RETOLD,2018-11-09,RATED T FOR TEEN,70,THIRD-PERSON ADVENTURE,XBOX ONE
112 OPERATOR,2020-04-23,,29,STRATEGY,PC
112 OPERATOR,2020-10-08,RATED T FOR TEEN,43,STRATEGY,ANDROID
12 IS BETTER THAN 6,2015-11-20,RATED M FOR MATURE,152,ACTION,NINTENDO SWITCH
12 IS BETTER THAN 6,2019-03-05,RATED M FOR MATURE,11,TOP-DOWN SHOOT-'EM-UP,PC
12 LABOURS OF HERCULES,2013-12-19,,68,ADVENTURE,MACOS
12 LABOURS OF HERCULES II THE CRETAN BULL,2014-12-04,RATED E FOR EVERYONE,56,STRATEGY,IOS
12 LABOURS OF HERCULES III GIRL POWER,2015-08-07,,36,STRATEGY,MACOS
