title,released,rating_x,ratings_count_x,metacritic_score,genres,platforms,developer,publisher,rating_y,user score,ratings_count_y
"""GLOW BALL"" - THE BILLIARD PUZZLE GAME",2015-07-20,,4.0,,,,,,,,
#IDARB,2015-01-30,EVERYONE,55.0,,,,,,,,
#KILLALLZOMBIES,2014-10-28,,11.0,,,,,,,,
#MONSTERCAKES,2017-05-05,,6.0,,,,,,,,
$1 RIDE,2016-07-28,,15.0,,,,,,,,
'SPLOSION MAN,2009-07-22,,,,2D PLATFORMER,XBOX 360,TWISTED PIXEL GAMES,TWISTED PIXEL GAMES,RATED E +10 FOR EVERYONE +10,7.3,91.0
.DETUNED,2009-09-17,EVERYONE 10+,17.0,,,,,,,,
.HACK//G.U. LAST RECODE,2017-11-02,TEEN,46.0,74.0,,,,,,,
//N.P.P.D. RUSH//- THE MILK OF ULTRAVIOLET,2014-02-13,TEEN,15.0,,,,,,,,
//SNOWFLAKE TATTOO//,2015-03-27,,6.0,,,,,,,,
0 DAY ATTACK ON EARTH,2009-12-23,,,,THIRD PERSON SHOOTER,XBOX 360,GULTI,SQUARE ENIX,RATED E +10 FOR EVERYONE +10,5.9,8.0
007 LEGENDS,2012-10-16,TEEN,44.0,37.0,,,,,,,
007 LEGENDS,2012-10-16,,,,FPS,XBOX 360,EUROCOM,ACTIVISION,RATED T FOR TEEN,4.5,84.0
007 NIGHTFIRE,2002-11-18,,,,FPS,GAMECUBE,EUROCOM,ELECTRONIC ARTS,RATED T FOR TEEN,8.3,20.0
007 QUANTUM OF SOLACE,2008-11-04,,,,ACTION ADVENTURE,DS,VICARIOUS VISIONS,ACTIVISION,RATED T FOR TEEN,0.0,0.0
007 QUANTUM OF SOLACE,2008-11-04,,,,FPS,XBOX 360,TREYARCH,ACTIVISION,RATED T FOR TEEN,6.9,67.0
007 RACING,2000-11-20,,,,AUTO RACING,PLAYSTATION,EUTECHNYX,ELECTRONIC ARTS,RATED T FOR TEEN,4.9,20.0
007 THE WORLD IS NOT ENOUGH,2000-11-01,,,,FPS,NINTENDO 64,EUROCOM,ELECTRONIC ARTS,RATED T FOR TEEN,7.9,51.0
0RBITALIS,2015-05-28,,7.0,73.0,,,,,,,
0RBITALIS,2015-05-28,,,,ACTION PUZZLE,PC,ALAN ZUCCONI,MASTERTRONIC,,7.2,5.0
1 MOMENT OF TIME: SILENTVILLE,2016-07-22,,7.0,,,,,,,,
1-2-SWITCH,2017-03-03,EVERYONE 10+,69.0,58.0,,,,,,,
1... 2... 3... KICK IT! (DROP THAT BEAT LIKE AN UGLY BABY),2010-12-09,RATING PENDING,20.0,,,,,,,,
10 MINUTES TILL DAWN,2022-04-22,,20.0,,,,,,,,
10 SECOND NINJA,2014-03-05,,26.0,72.0,,,,,,,
10 SECOND NINJA,2014-03-05,,,,2D PLATFORMER,PC,GAMEDESIGNDAN,MASTERTRONIC,,7.1,17.0
10 SECOND NINJA X,2016-07-19,,161.0,,,,,,,,
10 SECOND NINJA X,2016-07-19,,,,2D PLATFORMER,PC,GAMEDESIGNDAN,CURVE DIGITAL,RATED T FOR TEEN,5.5,23.0
100 CLASSIC BOOKS,2010-06-14,,,,APPLICATION,DS,GENIUS SONORITY INC.,NINTENDO,,6.1,11.0
100 ROGUES,2010-05-04,,,,RPG,IOS (IPHONE/IPAD),FUSION REACTIONS,FUSION REACTIONS,,6.2,6.0
100% ORANGE JUICE,2013-09-10,,152.0,,,,,,,,
1000 AMPS,2012-01-01,,9.0,,,,,,,,
1000 HEROZ,2011-06-08,,,,ARCADE RACING,IOS (IPHONE/IPAD),REDLYNX,REDLYNX,,6.5,11.0
1000 TINY CLAWS,2011-10-04,,,,ACTION,PSP,MEDIATONIC,MEDIATONIC,RATED E +10 FOR EVERYONE +10,7.2,11.0
10000000,2012-07-25,,44.0,67.0,,,,,,,
10000000,2012-07-25,,,,RPG,PC,EIGHTYEIGHT GAMES LTD,EIGHTYEIGHT GAMES LTD,,7.3,29.0
1001 SPIKES,2014-06-03,TEEN,22.0,80.0,,,,,,,
