title,released,developer,publisher,genres,rating,user score,ratings_count,platforms
ZIGGURAT,2012-02-17,ACTION BUTTON ENTERTAINMENT,FRESHUU INC.,ACTION,,6.9,14,IOS (IPHONE/IPAD)
4X4 EVO 2,2001-11-15,TERMINAL REALITY,GATHERING,AUTO RACING SIM,RATED E FOR EVERYONE,0.0,0,XBOX
MOTOGP 2,2002-01-22,NAMCO,NAMCO,AUTO RACING SIM,RATED E FOR EVERYONE,5.8,0,PLAYSTATION 2
GOTHIC 3,2006-11-14,PIRANHA BYTES,ASPYR,WESTERN RPG,RATED T FOR TEEN,7.5,832,PC
SIEGE SURVIVAL GLORIA VICTIS,2021-05-18,FISHTANKSTUDIO,BLACK EYE GAMES,RPG,,6.5,10,PC
GUITAR HERO III LEGENDS OF ROCK,2007-10-28,NEVERSOFT ENTERTAINMENT,REDOCTANE,RHYTHM,RATED T FOR TEEN,8.4,144,WII
FRANTIX A PUZZLE ADVENTURE,2005-09-19,KILLER GAME,SONY ONLINE ENTERTAINMENT,ACTION PUZZLE,RATED E FOR EVERYONE,0.0,0,PSP
XENORAID,2016-11-08,10TONS,10TONS,VERTICAL SHOOT-'EM-UP,RATED E +10 FOR EVERYONE +10,6.2,6,PLAYSTATION 4
THE SIMS LIVIN' LARGE,2000-08-27,MAXIS,EA GAMES,VIRTUAL LIFE,RATED T FOR TEEN,7.7,20,PC
RETROVIRUS,2012-11-16,CADENZA,CADENZA,FPS,,6.6,20,PC
TIL MORNING'S LIGHT,2015-05-20,WAYFORWARD,AMAZON GAME STUDIOS,ACTION,,6.4,7,IOS (IPHONE/IPAD)
THE POLITICAL MACHINE 2012,2012-07-31,STARDOCK,STARDOCK,TURN-BASED STRATEGY,,6.5,30,PC
WARHAMMER 40000 SPACE MARINE,2011-09-06,RELIC ENTERTAINMENT,THQ,THIRD PERSON SHOOTER,RATED M FOR MATURE,7.8,259,PC
STAR WARS EPISODE III REVENGE OF THE SITH,2005-05-04,DOUBLE HELIX GAMES,LUCASARTS,ACTION ADVENTURE,RATED T FOR TEEN,7.7,27,PLAYSTATION 2
SAINTS ROW IV,2013-08-19,VOLITION INC.,DEEP SILVER,OPEN-WORLD ACTION,RATED M FOR MATURE,7.4,1997,PC
THE HOBBIT THE PRELUDE TO THE LORD OF THE RINGS,2003-11-11,INEVITABLE ENTERTAINMENT,SIERRA ENTERTAINMENT,ACTION ADVENTURE,RATED E FOR EVERYONE,8.4,18,GAMECUBE
LOST ORBIT,2015-05-12,PIXELNAUTS,PIXELNAUTS,2D PLATFORMER,RATED T FOR TEEN,7.1,23,PC
SWAPQUEST,2016-02-23,CONSTANTIN GRAF,CONSTANTIN GRAF,JRPG,RATED E +10 FOR EVERYONE +10,7.0,6,IOS (IPHONE/IPAD)
COMMAND & CONQUER RED ALERT 2  YURI'S REVENGE,2001-10-10,WESTWOOD STUDIOS,ELECTRONIC ARTS,COMMAND RTS,RATED T FOR TEEN,8.7,269,PC
LUMINES,2005-03-22,Q ENTERTAINMENT,UBISOFT,MATCHING PUZZLE,RATED E +10 FOR EVERYONE +10,7.5,47,PSP
ARMORED CORE 3,2002-09-05,FROM SOFTWARE,AGETEC,VEHICLE COMBAT SIM,RATED T FOR TEEN,8.1,21,PLAYSTATION 2
AMPED 2,2003-10-28,INDIE BUILT,MICROSOFT GAME STUDIOS,SKIING,RATED E FOR EVERYONE,8.4,9,XBOX
SWORD OF THE STARS II LORDS OF WINTER,2011-10-28,KERBEROS PRODUCTIONS,PARADOX INTERACTIVE,STRATEGY,RATED T FOR TEEN,4.7,134,PC
BUZZ! JUNIOR DINO DEN,2008-02-22,COHORT STUDIOS,SCEE,TRIVIA,,0.0,0,PLAYSTATION 2
NEON WHITE,2022-06-16,ANGEL MATRIX,ANNAPURNA INTERACTIVE,FPS,RATED T FOR TEEN,8.4,190,NINTENDO SWITCH
BLAZBLUE CONTINUUM SHIFT EXTEND,2012-02-14,ARC SYSTEM WORKS,AKSYS GAMES,2D FIGHTING,RATED T FOR TEEN,7.5,102,PLAYSTATION VITA
COSMIC STAR HEROINE,2018-08-14,ZEBOYD GAMES,LIMITED RUN GAMES,JRPG,RATED T FOR TEEN,7.4,33,PLAYSTATION 4
THE WALKING DEAD SAINTS & SINNERS  CHAPTER 2 RETRIBUTION,2023-03-21,SKYBOUND GAMES,SKYBOUND GAMES,SURVIVAL,RATED M FOR MATURE,7.2,11,PLAYSTATION 5
MXGP THE OFFICIAL MOTOCROSS VIDEOGAME,2014-11-18,MILESTONE S.R.L,BANDAI NAMCO GAMES,ARCADE RACING,RATED E FOR EVERYONE,6.4,14,PLAYSTATION 3
MORTAL KOMBAT XL,2016-03-01,NETHERREALM STUDIOS,WARNER BROS. INTERACTIVE ENTERTAINMENT,2D FIGHTING,RATED M FOR MATURE,7.7,672,XBOX ONE
RESIDENT EVIL 5 DESPERATE ESCAPE,2010-03-03,CAPCOM,CAPCOM,SURVIVAL,RATED M FOR MATURE,7.6,27,PLAYSTATION 3
SILENT HUNTER 5 BATTLE OF THE ATLANTIC,2010-03-02,UBISOFT ROMANIA,UBISOFT,MARINE COMBAT SIM,RATED T FOR TEEN,5.6,46,PC
SABAN'S POWER RANGERS MEGAFORCE,2013-11-05,DIGITAL WORKS ENTERTAINMENT,NAMCO BANDAI GAMES,2D BEAT-'EM-UP,RATED E +10 FOR EVERYONE +10,4.5,12,3DS
BLOCK FORTRESS,2013-03-07,,,ACTION,,0.0,0,IOS (IPHONE/IPAD)
WWE 2K14,2013-10-29,YUKE'S,2K GAMES,WRESTLING,RATED T FOR TEEN,7.7,128,XBOX 360
MURDER BY NUMBERS,2020-03-06,MEDIATONIC,THE IRREGULAR CORPORATION,VISUAL NOVEL,,6.7,23,PC
RATCHET & CLANK SIZE MATTERS,2007-02-13,HIGH IMPACT GAMES,SCEA,3D PLATFORMER,RATED E +10 FOR EVERYONE +10,8.0,191,PSP
UNEPIC,2014-01-16,ENJOYUP GAMES,ENJOYUP GAMES,ACTION RPG,RATED T FOR TEEN,7.5,58,PC
THE LORD OF THE RINGS THE BATTLE FOR MIDDLEEARTH II  THE RISE OF THE WITCHKING,2006-11-28,EA LA,EA GAMES,REAL-TIME STRATEGY,RATED T FOR TEEN,8.8,129,PC
MLB THE SHOW 18,2018-03-27,SONY INTERACTIVE ENTERTAINMENT,SONY INTERACTIVE ENTERTAINMENT,BASEBALL SIM,RATED E FOR EVERYONE,6.3,103,PLAYSTATION 4
SMELTER,2021-04-22,X PLUS,DANGEN ENTERTAINMENT,2D PLATFORMER,RATED T FOR TEEN,6.8,0,PLAYSTATION 4
NINJATOWN TREES OF DOOM!,2010-05-05,"VENAN ENTERTAINMENT, INC.","VENAN ENTERTAINMENT, INC.",ACTION,,0.0,0,IOS (IPHONE/IPAD)
THE MAGE'S TALE,2017-06-20,INXILE ENTERTAINMENT,INXILE ENTERTAINMENT,ADVENTURE,RATED T FOR TEEN,7.5,12,PC
THE WITCHER 3 WILD HUNT  BLOOD AND WINE,2016-05-30,CD PROJEKT RED STUDIO,CD PROJEKT,ACTION RPG,RATED M FOR MATURE,9.1,4208,PC
PORT ROYALE 4,2020-09-25,GAMING MINDS STUDIOS,KALYPSO,MANAGEMENT,RATED E +10 FOR EVERYONE +10,5.2,17,PC
JUST DANCE 2024 EDITION,2023-10-24,UBISOFT,UBISOFT,DANCING,RATED E FOR EVERYONE,5.1,15,NINTENDO SWITCH
DYING LIGHT,2015-01-27,TECHLAND,WARNER BROS. INTERACTIVE ENTERTAINMENT,SURVIVAL,RATED M FOR MATURE,8.1,2143,XBOX ONE
TEMPO,2015-02-11,SPLASH DAMAGE,WARCHEST LIMITED,ACTION,,0.0,0,IOS (IPHONE/IPAD)
CONFLICT DESERT STORM,2003-04-22,PIVOTAL GAMES,GOTHAM GAMES,TACTICAL THIRD PERSON SHOOTER,RATED T FOR TEEN,7.8,6,XBOX
CUT THE ROPE TIME TRAVEL,2013-04-18,ZEPTOLAB,ZEPTOLAB,LOGIC PUZZLE,,7.0,12,IOS (IPHONE/IPAD)
EXERBEAT,2011-05-17,NAMCO BANDAI GAMES,NAMCO BANDAI GAMES,SPORTS,RATED E FOR EVERYONE,7.0,7,WII
